Age,RUS,ESP,UK,ITA,GER,TUR,FRA,BEL,NED,SUI,POR,SWE,BLR,IRE,ISR,POL,UKR,AUT,ROU,DEN
0-9,18622607,4234486,8044056,4994995,7880903,13419270,7527474,1302703,1752763,884945,841076,1193951,1143840,671943,1671096,3784871,4589511,874182,1905047,606029
10-19,15256037,4736077,7642473,5733448,7930616,13595149,7883477,1312251,1953692,834867,1015166,1127127,928883,668747,1405063,3709136,4383517,876208,2075306,675948
20-29,15607785,4617599,8558707,6103436,9377361,13174163,7371029,1386085,2097480,1039729,1073698,1276930,1077802,567337,1196975,4431558,4898491,1115377,2086263,775962
30-39,24468555,5901993,9295024,6998434,10872020,12774731,8011050,1503997,2097530,1219224,1215309,1320299,1530348,695928,1122245,6004923,7208958,1243416,2585900,672290
40-49,20375317,7938499,8604251,9022004,10243351,11446579,8325667,1518439,2151436,1166588,1575911,1264123,1285401,763228,1040177,5535441,6406404,1178265,3026468,738207
50-59,18897666,7046327,9173465,9567192,13488393,8908423,8635056,1598741,2524072,1320622,1481007,1296647,1345791,600933,795496,4563168,5906737,1407000,2569158,810126
60-69,18501369,5340654,7286777,7484862,10644142,6192392,7764785,1369876,2129501,977435,1293824,1093868,1243251,480785,703643,5174147,5539856,1033320,2535948,654530
70-79,8549718,4015306,5830635,6028908,7471414,3353579,5727704,939413,1591524,751993,1018314,994244,525562,330663,459660,2900526,2983430,790437,1530269,586138
80-89,4875418,2327453,2814122,3699654,4894143,1330708,3142141,537528,700180,373598,576342,431499,320146,133838,208264,1441605,1599359,402701,811602,225319
90-99,770581,583305,620660,812378,962305,142795,865684,118698,133731,83921,104099,98312,47908,23754,51673,296206,215577,84339,110558,46328
100+,9407,13083,15834,16517,19295,1277,19443,1885,2963,1695,1961,2270,389,640,1248,5024,1919,1155,1162,1326
